Feature,Coefficient
Insurance_Type_3,-1.412248874140533
Insurance_Type_1,0.6082610062831582
Insurance_Type_2,-0.41685195471152503
Previous_Denial_Count,0.19486906086438457
Procedure_Code_2,0.11575909347092704
Procedure_Code_9,-0.09950171664115656
Documentation_Delay_Days,0.08590762162514848
Procedure_Code_3,0.07314975923130496
Procedure_Code_8,0.05568657148030296
Procedure_Code_7,-0.04544054106931019
Procedure_Code_5,0.04221848130051264
Department_3,-0.03930753184673831
Insurance_Type_4,0.037600928149194315
Procedure_Code_13,-0.03474531809574648
Procedure_Code_10,0.034341329710213093
Procedure_Code_6,0.018070280539796337
Procedure_Code_11,-0.016703661328183145
Length_of_Stay,0.01600740027741989
Procedure_Code_14,-0.014122943802918139
Procedure_Code_1,0.009478205892300508
Department_1,-0.006649780598152084
Department_4,0.006147460755383628
Procedure_Code_12,0.004780841543770719
Procedure_Code_4,0.004507613314115397
Department_2,-0.0016210054667953027
Claim_Amount,0.0012153592253973588
